Username,Comment
marvish malovick,Har kisi ne BJP ko vote diya to congress sp ke khate Mae jo vote pare the wo kya sab farzii the kya?
Daneshwari Hammond,"How much discomfort neighbourhood experiences? Inka khayal nahi. 
Kitnei phasal bigad gai inka andaz nahi ? 
Kitnei dukan bandh ho gai ? In paar vichar nahi ? 
Aab BJP ko target kero ? Slanderous language is offending can be prosecuted but BJP is very generous not to
Prosecute hooligans supporting Rakesh . 

Kissan ki ayi double ho gai 
Infrastructure improved saves money on transport. 
Irrigation supplied saves money on water. 
Electricity provided saves money on electricity. 
Waste of farming product is now stored by businesses also saves not only products but helps farmers who receive income that was previously wasted when farming product was thrown on roads and tramp under car wheels. 
Rakesh is traitor is playing games in name of farmers."
g.aulakh vlogs,Shoti c ghtna Nhi hai yeh. That was deadly attack and its torture
J.Shanmugam. The Nilgiris.,Ordering to beat on head (shir fphodu thoo) by lathi charge on farmers; is a small thing (chotti cteesh) for you or what...!!?  Sabhash....
Shubham Singh,Khalistaniyo k paisa se chal rha h ye political protest.
Total kids,Bjp loss seat in 2022election
BBC Six Minutes English Learning,"And one thing is more sir , earlier we demand repeal three anti farm laws but now my aim is clean bjp"
BBC Six Minutes English Learning,He feels more jealous when we are talking against bjp
BBC Six Minutes English Learning,"Sir , you are the best news anker and I respect you because you are the news ankar of bjp "
Anand Jack,SDM is absolutely right  these aandolanjeevi  are treated best medicine
Rupinder Singh,Highway tere baap ki property gunde tune turwa diye criminal
Mr Tushar 2002,This is Godi media not Aaj tak
Songs world,Iski muche padni h election m
Sikh4 Lahore,"All these dramas are fine for haryana people but when will we Sikhs become brave enough to admit the truth that our Gurughar our home is not Indian Punjab, and that we belong to Lahore in Pakistan, which is the kingdom of Maharaja Ranjit Singh, who was our forefather known as the Lion of Punjab (SHER-E-PUNJAB). Nankana is the birthplace of Guru Nanak the founder of Sikhism. So, for how long will our homeland keep calling us??? Come on brave brothers let us move back home to Lahore, Pakistan. Forget India. Lets go OUR REAL, HISTORICAL, GURU-GRANTED HOME: LAHORE, PAKISTAN. RAJ KAREGA KHALSA. I repeat, brave Sikh brothers, let us never forget that the real home of Sikhs granted by our Guru and the capital of sher-e punjab is Lahore and not India. Indian Punjab belongs to Punjabi, Bihari, Madrasi and all Indians but Lahore belongs to Sikhs alone."
official5911mix,ohh chor... khacchar
Anand Rajappan,Lathicharge is the way to teach the unruly gundas in the name of farmers needs the lessons
Vishal Goel,"SDM IS RIGHT, GUNDO SE AISE HI NIPTA JAATA H"
mijan tarafdar,Bjp desh ke liye cancer hai
शिक्षितम्-SHIKSHITAM,Woow wonderful to see you on news channel mere dost ..feeling proudful
Prekchha Baid,Nice video....Please bring such videos more
Vikas Rawal 'C' 278,"IAS         top 10 mantra for success in upsc

https://youtu.be/bP-4kr7AHE8"
rohit chaudhary,Wow brother
Jagir Singh,"    
-       ?
         
The stand of Sardar Gurnam Singh Chaduni is commendable  that is, the Whole present political system (including comrades too)of our Democratic & secular country may be said responsible for harassing the Kissans. 
      So  that a new party namely All India Kissan-Mazdoor Party should be made by Agriculture people for flushing out corporated  based politicians by democratic votes."
MANOJ UPRETI,"Now government should deploy army and local police without further delay to deal with these gundas ,because they have crossed the threshold, also such types of fraud and biased journalist should be send behind bars who are very active in this fraud agitation and spreading and creating wrong perception against farm laws knowing the facts new farm laws are in favour of real farmers not for  and Dalal"
pradeep rathee,"The way this government is treating our sons of soil , who are fighting for their rights, is unbelievable. Ultimately no one can defeat sons of soil, they will snatch their rights."
krishan choudhri,Can the Godi media not see & count this crowd?
Mohammed Adill,They are Indians
B 3 Ji,We Respect our Farmers and Farmers Leaders are always Right
B 3 Ji,We Respect those who Respect our Farmers and Farmers Leaders
B 3 Ji,Our Farmers and Farmers Leaders are always Right
B 3 Ji,We support our farmers and Farmers Leaders
B 3 Ji,Weldon by farmers
Vaid jaswinder Singh,Bad job police and government and rss modi
R Sharma,"Modi ji ,you are great and knows how to fool Indian Public .....Great dramatic character...it is a suggestion to open a Drama School to train students for politics and NSD admission as a part time business ,great...Modi ji really you are a very clever and a different type of chracter ,uderstand it without saying...... We support our farmers not a puppet of Capitalist.... Jai Kisan Jai Bharat"
Sonu Kumar saw,and the best oscar acting award of the era goes to ............
Vinod Bastawad,Chor hai
Narsi Ram,Chor h ye pm
CM Goyal,No Law has been in force as the SC has stopped the implementation
Mvramarao Knr,"Code of discipline karna 
Please govt form a indian kisan voter list and elected body only represent the issues of all kisans"
Udaiveer Udaiveer,Thanks a lot to Prachi ji
Man Rawat,Dakait jame raho chor tumare sath hain
LEVEN,"why they are saying jaat kisaan neta,
he is simply a kisaan neta
why these news channel highlighting the caste ?
& divert the main topic
Shame on this type of indian Media"
Asgarali Asgarali,Sahi pakde ho Rakesh theek hai
Sarbas Gingwar,Surya Mitra send request Iraq attack at Lucknow na bhai
Sachin Singh,Toti chor aur topi chor
Narendra Dwivedi,Rakesh tikait tu paisa kama rha congress party tujhe paisa se pyar pahley kanoon ke bare mein janakari de sabko tab ham manege I dont believe you you are hungry money you just need money for strikes if CBI check your property they will find out a lot of property from you
SHRI RADHAY VATIKA ALAWALPUR PALWAL,Bjp hato desh bachao
Ford Agriculture,Chooth bolo etna chooth bolo like Modi k vo such lagne lagge shame on Modi govt
Bhadiyadra Rajesh,TIKET FEKVANU BNDHKR TU BHI GLTFEMI ME MTRHENA
Jaipal Singhweldingworks,Your air Rong Sir
Karam Chand,Tu chor haa
Jagjeet Singh Sudan,Modi will not withdraw these laws. Farmers will have decide on some detail long term strategy to defeat these laws. Farmers will have to work to bring back the same crisis of PL480 times.
dharmendra vishwakarma,Right
mohinivishu58 mohinivishnu58,my pray all kisan brother all of you win go home
Bimla Dhar,Canadian Sikhs controlling this agitation shame on jaichands
Padmaja Gawade,Kisan andolan Karo rahe I support and stand with kisan union
Amit Joshi,Bloody Anarchists...
Kosal Kumar,Sahe. Bola
samy2339,tractors should be banned from protests
Rashtra Bhagat,They are not indians and not kishan. They are supporting those who disrespected Indian Tricolor. Shame shame......
September 13,Salute Takait brothers and all people who joined this SALUTE 
Nand bhawar Singh Rajput Nand bhawar Singh Rajput,             victim           
Navneesh Kumar,"How much property this kissan neresh tikat have. I think rule should be made for not the people who are super rich behind the mask of kassan. As their children settle in countries like amrica, Canada , uk etc and in India  enjoy very big land with all income tax free . Free electricity and water. Whereas real kissan who have small chunk of land spent whole life in misary and some time due to financial problem or could not repay the loan he commit sucide .govt current scheme not reached towards him  due to not so called unchib pahunch. This is the irony of india. I think govt should recogonsie real kissan of India and work towards them . These kissan with sword are not kissan but old era time jagirdar with dictator type attitude"
Syed Faisal,You are doing a fabulous job keep it up sir
md rokya,Exit an idiocracy baggage a
Kusuma K,Why are they coming out during corona. This is wrong
yacoob shariff,"Hi Team, 
You people are doing a great job, please cont.. Doing such great job really appreciate, 
Please do a detail video on sabiya saifi who was brutality killed."
Khalid Hakeemshariff,The crowd is increasing continuously and the garbage is again answering the party of garbage Tripathi
Ravikant Singh,AYEGA TOH YOGI N MODI HI....YE BAGHPAT KE LOKDAL KE UNPAD LOG HAI...BAGHPAT HIGHWAY YOGI NE BANWAYA...IN CHUTIO KI 3 SEAT ATI NAHI...BAKCHODIA KARWALO
g anand,Please wake up...
chetan rattan,"Why should these reporters from AajTak and other media expect standard  treatment and respect from general public,  is their IQ so low that they do not understand that in their enthusiasm to lick boots of their political benefactors they use such vulgar synonyms to describe protectors, agitators and people who do not agree with the policies enacted by their  political masters....these people have reached Nadir of sycophancy and feel that shouting, howling,abusing all in the comfort of their studios is journalism.. than they are living in fools paradise...people are reaping benefits (in form of worst governance, worst management of covid globally, uncontrolled price rise, no jobs etc ) of electing the worst incompitant government..and no amount of bootlicking by these paid journalist will change  thus fact..."
Satwant singhsss Nahal,Bahut vadhiya reaction brother
hirdesh gautam,It's just beginning picture abhi baaki hai mere bhai.UP ELECTION BJP WHITEWASH
Yajna007,03:14 Keshav Prasaad Maurya's insecurity is speaking (showing).
Barinder Ahluwalia,Blowing their own horn!
KASHMIR BARWA,Change for some thing this time s:p or con: in u:p kyoki desh sankat ma ha
KASHMIR BARWA,Media is corrupt  bcoz she is taken moneny from u:p gov we know all know all thing bware u:p people
Jakaria Molla,"Global Biggest Liar Modi dhokebaaz 
Global Biggest CHapLoos Sambit PeeTroo 
ThookTah hai Bharat"
Sadanandan Tn,"I am Danish
               "
Manish Raj Yadav,It's rld not rdl correct it
Nahid Qamar,Very good job thanks you so much
Jabal Jumah,Log hai to country hai log hai to government hai modi godi media no need people no need government only need  jungle raaj fake all over India all people disturb  in India by bjp rss government
piyush gupta,Bhai ye news news chodo tshirt kahan se late ho ye btao
Mohmmad Raja,Jab tumhare papa g chunaw prchar kar rahe the tab corona nahi fail raha tha
Tushar Kumar,modi ki rally me kon se social desting hue thi
mehul vaidya,I am not Farmer. But I understand that this law can destroy farmers . I support them
Sunny Singh,Election ktm RAM NAAM gyb petrol diesel rate start   
Arpit Gautam,Bc to abhi corona gya ni h.. phle January February m kr diya ab fir chalu... Zombie bn k ghum rhe ye log... Kisan alag h ye chutiye alag h
Matrix Creation,Godi's destroyed the Country...
Akash Sharma,Aam party best
mohit gupta,Jai kisan desh bachao in carporate se
arvind.punjabi punjabi,Right
T- Rex,Swamiji bill gates ke baare me knowledge kam hai apki. He's bought maximum farm land in USA and finished small farmers.
Suresh Singh,Jai shree ram
"let me- Zayn, adore you- harry",Hme to is trh se Ram ka R to nhi bona ata. Lekin inse puchiye ye hi bol kar bta de aur hme bhi sikha de.
Uddhaba Meher,"har Muslims family's gets 3.5 lakhs to go to Makkaa and Madinaa,but Hindu, Sikh,Isaai and all others religions people how much money's got for tour"
Md Farman,up mage owesi only
Md. Monir hossain,This swami is very good. The real understanding hindu who know the real religion.
MOHAMMED MACKTHUM,He is good swami all muslim like you and your words are true
rajesh kumar,I will miss always to you sir
what i think. singh,Such a great loss of death.
Amandeep Singh A04,Godi media you are finish for Indian people 
Abdul Quyam,Such bolna Chaiye
Amit Tandi,We all are against bjp
Raman Aulakh,Report this channel
Raj Rathore,"Your discussion is very biased. You are intentionally promoting one sided, Government View."
jaspal singh sandhu,You
Hemant Sharma,"I m surprised the Kissan Andolan has conquered COVID without any injection. No mask no 2 gaj ki doori , not even a single person died due to COVID ."
just you need to know,Don't try to bias  my anchor
Anil Kumar,"MC Mallikarjun Karge & Diggy both rejected by voters for Lokasaba in 2019, took the back door Rajya saba to enter parliment"
vivek bhandari,Dehli me kisan nhi congress & anti bjp Daale desh me ashanti create kr rahe h girftar karna chahiye inko
Naresh Baro,I'm a big fan of AJAI ALOK
Harbir Singh,"Have Live debate where Rajewal, Yudvir and Abumanu  , let India see why laws are black. ???"
Garhagur,send back modi to gujrat where he used to do farming wut tommar talking about
G k DANAPUR,People says aajtak also bjp media
Kishan Zala,Jai shree ram!
Kamal Brar,He is trying to defend government softly
Dusmanta Patra,Thanku News 24
Raghuraj Shyam,                                        Take care and We Love you sir...
Vikas kumar,Great work by sandeep Choudhary.
Ajit Jain,News 24 seems more inclined specific political party!!
SB,Glad  to senior journalists on ground keep it up Sandeepji
vahid ali,Sandeep Choudhary sir 
Mahesh Singh,Sandip Choudhary on ground zero salute them
Ñim Sherpà,The greatest war between godimedia and jantamedia has already begun .
Ravi Kant Tripathi,Lution dalal media limited Desh     
Sheetal Kujur,Initially I was supporting them but after this incident I was like throw them away . Pura bht aache se india ko badnaam kiya hai .....iska award milna chaiye in logo ko
Mandeep singh,"We are proud of ojr farmers, bjp goverment hindu sikh kervana chati hai."
G 9,"Only PUNJAB Kissan has poblem with the law? Farming is not done in other parts of India? 

Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Chhattisgarh, Goa, Gujarat, Himachal Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Odisha, Rajasthan, Sikkim, Tamil Nadu, Telangana, Tripura, Uttarakhand, West Bengal

But the problem is only with Punjab Farmers? Do they give is food for free?
Their action on 26th Jan has insulted the respect we had for Farmers. 
Farmers of Punjab are terrorists."
soti surti,It is Terrorist attack
Amit Kumar,We are proud on my farmer
Hervinder Gill,Modi started this now Kisaan will finish it
satyam gaming,Arrest all kisan leader who create all such nouncenc in our Republic Day same on kishan leaders
babu guddu,"Boycott jio
Boycott (Jio)sim 
Port SIM into vodafone or bsnl
Boycott reliance products
kissan k liye like "
Deepak Sahu,Farmer aise hote Hain ?
Dev Salunke,"Not supporting to any kind of violance ever but                  ,              "
HARPAL SINGH,Cricket  ki commentary  kr raha h
BORN TO DO IN YOUR Life,Zee news to sale kuch or news show kar rhe h ..
tarachand b,very bad...Hoisting religious flag..at Red Fort.....# Real face  of so-called farmers unveiled...
Nanik Mahbubani,"What our gurus and religion teaches this way,anarchy vendalism,destroying everything and feel Proud?????sochooooooo"
Zeba Khan,Wow what a republic day great farmers welldone
ModiTheGandu,Modi and BJP are without a doubt the worst thing to ever happen to India. The economy has tanked. Discrimination against minorities is through the roof. One protest after another. The government's response is to use their media outlets to blame Pakistan. Why is your economy garbage? Pakistan. Why did China invade and take your land? Pakistan. Why was your pilot get captured in Pakistan? Pakistan
Voice Of Kumaun Uttrakhand,BHai tu cricket ki comentry achhi kreg..vhi kar
Sebastian Francis,"We agree Sir Dharmahandra supporting the farmer's, shame on Amitabh, Akshay ,Salman and Amir ...."
Satish kumar Satish kumar,OM HARE OM
rudraksh singh," Twite  ...
    ..             ...        ..    ..    ..         .                  
 ....... .              ..  ....        ...
                  ..
****                   *****"
Dewansh singh Art,Kangana Ranaut is best actor 
A k,Dharmender mazboori me Ayatha.
Gulshan Yadav,Mantosh2022
Syed Fayaz,India is the Nation of farmers not of political parties..
harish meena,"Dalle h yeh amit 
Akshy"
harinder Kaur,"If Dharmendra tweeted it has come from within, but if he has taken out the tweet, its sad because that must be because of his 2nd wife Hema Malini !!She was better off as an actress than coming to politics and doing nothing!!!!"
Vijay Singh,Mr dharm ji is real well wishers of farmers.
Syed Khayum,Dharmendra Paji Khud Aandolan Mein Shamil Hona chahie tha
NewsClickin,"MSP, Debt Crisis: Why Farmers in Western UP Are Protesting Against Farm Laws - https://www.newsclick.in/MSP-debt-crisis-farmers-western-UP-protesting-farm-laws

With the latest farm laws advising contract farming, the farmers believe that it would altogether deprive them from their most prized possession, land."
kamal negi,Abhisar Sharma is the biggest c...... Journalist.
Pratik Shaw,Paid outlet ho china ke bhai
akhandleshwar ashok,"Hello unemployed reporter, you have been kicked out from media house,because you are belong to Lutiyan gangs, urban naxal gangs ,power brooker and mandi brooker.peoples are more intelligent than you and your gangs."
Rajesh Jindal,Main godse samarthak
sushil bhardwaj,You are wrong mr
Ismail Shabandri,Thank you
Yagnesh Patel,Rahul Gandhi is more educated than bjp  party minister... Kas  Rahul ek bar ban jate pm.. Young talent age hote.
Yagnesh Patel,Now bjp want other party again rule 60 years. Lol....
Devashish Sharma," ,          12000/-    ,       ,     , -     ,     ,             2     ,                                                            , 

                                  
                                        the results is still ZERO"
किसान मजदूर सेना - किमसे,", ,                        Subscribe   
 ,  ,  
  Subscribe            "
Jesus Prayer Music,aisa h na sach ager dikhana hai to New World order ke baare m dikhao bhai. sab clear ho jayega
Arun Haryana,Godshe   
kashmir update,Bjp tho chalth he jhoota our doing hindu mashlman congress pakistan assay kran say in ko hindu ka vote millt ha
Alok Prasad,Modi is out and out fascist
Gagan Deep,Abhi Sar Sir bhindrawala not terrorist
Christopher Sentu,Will there be new laws for tea benders?
Neelesh Ferreira,Good  explanation i
Mandavi Yadav,I'm respected to you sir..
Mandavi Yadav,U are right sir
Lalita Verma,"Inhi ke roti khaty hiy or inhy hi mar rahey hey .
Sham on you B J P"
Krishna Veni,Farmers Or back bone of this earth long live kissan unity
kahan sahota,"Khatar ji INSANN de izet sireff Parmatama da piyara  hee zan da hai.khater ji app  too naffret  de pujari  hoo, time will be come ,when you and your aka  Uss Parmatma (RAM)dee sachi court vich kee hona hai,use noo tere varga hankari Insane kee Jane,Tomorrow night real dreams will show you all kinds off dark side by.BHAGWAN KRISHINA JEE, It's very True.BHAGWAN JEE kee lath don't make noise, TERA GAROOR chanachoor  Khatar ji"
John Vedhamuthu,"we the red forces*
Lakhs of red salutes to our valuable farmers"""
Meena Devi,Government agitating farmers to be violent .
Mayank Ahlawat,Phele hi pta thi k ye hoga
King Pamai,Try to teach all this bullshit BJP party
Sadanandan Tn,"I am Danish
                                               "
Meena Devi,Government machinary become mad.
jatt,Bjp.chor.party.murdabad
Mohinder Pal,"Kisan/ Farmers are dependent on Transporters,
1* The Mody Government has increased Traffic challans by 10 Times, both Farmers and Transporters are facing problems.The Transport Minister Mr. Gadkari did not listen to any plight of Farmers by that time.
2* The Government has also increased the rates of Deisel.
3*  The government has reduced the life of all diesel running vehicles from 15 Yrs to 10 yrs , including Tractors and all earthmoving machines like bulldozers, JCBs, Road Rollers. etc, for which farmers have to take loans.
The Government is going to give numbers of blows to farmers.
 Now the government is facing problems. and agitation, protest."
Mohinder Pal,"Kisans/ Farmers are dependent on Transportes,
1*  Kisans have to take a loan from banks, to purchase Terakters, The MOdy  Government has reduced the running age of all diesel running vehicles from 15 Yrs to 10 Yrs. 
2*The Mody Government has increased the Rates of Traffic  Challans exponentially about 10 times. The Transport Minster Mr. Gadkari had not listened to the plight of any Farmers , to reduce Traffic Challans. 
3* The Deisel Rates have also increased. In West Bengal Deisel rates are equal to Petrol.
4* There is no storing space for farm produce.
 The Mody Government is giving multiple blows to Farmers."
z2xgaming,God is great believe in God pray for bless
Ashwani Kumar,Free electricity should be given to all Punjabis including Physically Handicapped   Punjabis .
Prince Jawla,Zee news aaj pahli bar sach dikha rha h pls  and share
Jag Singh,"India army committed massacres of Sikhism, captured their territories and attacked Harmandir Sahib so Sikhism believers assassinated Indian Prime Minister Indira Gandhi in 1984. Free Hyderabad Deccan, Manipur, Sikhism, Sikkim and Tripura from India to restore as independent countries."
Mohsin Builder,Why govt has not listening their words.govt has to listen to farmers.
Barnali Adhikary,"**PLEASE SUPPORT ME**

Myself Barnali Adhikary a private tutor from Hooghly, WB, India, I live with my mother. My father had passed away, I  am having no siblings,  I have lost all of my tutions due to lockdown situation & being the only earning member of the family, going through extreme financial trouble, having no other sources of help...my mother, a home maker, is suffering from chronic diabetes & high BP along with kidney disease, can't afford to continue with her treatment & can't buy urgent medicines for her, also unable to buy groceries and vegetables to sustain the daily needs to survive, hence requesting earnestly for your kind support urgently, please don't make nasty comments or calls and it's not any scam or fraudulence at all. A little bit of contribution could save our lives, hence contribute as per your capability...(contribute whatever you can via Google pay/phonepe/paytm number..9163429620,..... UPI ID..9163429620@upi or 9163429620@apl), or, (Barnali Adhikary
State Bank of India
Sahaganj Branch (2115)
Savings Account no. 39570166343
IFSC code.. SBIN0002115)people who sincerely want to contribute can call or sms on 9163429620...God bless you all...."
Rajesh Kumar,CONGRESEE STATE CHIEF MINISTERS SUPPORTING CRIMINAL TURN FARMER AGITATION
Rajesh Kumar,TERRORIST /CRIMINAL TURN FARMERS ARE DISTURBING NORMAL LIFE OF PEOPLE OF DELHI.ARREST AND PROSECUTE THEM
FOOD RELIGION,Minimum Support Prices is absolutely  MINIMUM Demand
Rafik Shaikh,Green colour kyon
James 007,Sikhs must stop mockery. Rest of Indians are laughing at them. Another operation blue star is on the way. Hand them over to west Punjab to solve their problem forever.
manojcsinha,Why are only Punjabkisans supported sponsored by Akali dal the greatest monopoly and exploiters of small poor Lisa s Hope all would realize it
saurav verma,Support farmees
Love Utube,Why are pro farmers in favor of bill not showing their support for this bill. Why are they silent?
Jeetendra Chande,"Indians are with farmers not with commission agent.
Modi sarkar hv  always done best for Indian."
ramesh gandhi,"*   (BTC)     *

         - *     ,     *


UPPL  BJP     
*          *"
Anil Thanapati,"    Support  ,     Support           "
Anil Thanapati,I am supporting  new agriculture amendment of 2020 for farmers .
Avdhesh Yadav,We Supported Indian farmmers.
Chintamani momi Jena,By cut kishan andolan trp
Pradeep Pandey,Boycott Zee news channel please unscubcribe this channel
sattu2,I love your boldness poonam
Rko Singh,This woman is  beautiful.
Munnilal Kushwah,My daughter you do not know the politics. What is behind it.Let the time pass. PSE patience. The time will tell you fact. Parties do not want to see to go forward to you. They are unable to tell the fact of it.when you will come to knwo.
Dhani BUX LAGHARI DBL,I am fan of this lady 
Babu sekh,Good disition
muhammad Ihsan,Hoping she must be on the floor of parliament discussion session while all nations channels should be live. Hope and example for youths and stand for the rights.
Shahid Ali Chaudhry,Brilliant girl....make her CM or PM. She is a gift for Indian nation.
Kuljit Singh,Hello poonm sister you are great girl...we need your number please we wanted sports
Manash Roy,The science of the cultivation of land he is studying agriculture in lndia
Study IQ education,"Click here to buy full UPSC course https://play.google.com/store/apps/details?id=com.studyiq.android
Study IQ's UPSC course is designed by some of the best faculties in our country. Our comprehensive UPSC course will help you excel in both Prelims and Mains examination."
mukesh sharma,Conclusion is..m.s.p should be compulsory for all transection.. otherwise private company will be monopoly and act like. English east india company...and now Indian ministers are already like pupet... nawabs under the hands of corporates.
Prashant Devarde,Govt should have control on both APMc and private too.not only for these all issential things other wise only people will suffer from this . We already have real example of private educational institutions.
Safdar Gazi,Good explanation.......... Clear crystal
neha singh singh,Govt should interfere in MSP.
Sadanand Gawande,It's aTransparent information .. Good
Altiya .h,"Private sector are those institutions who burn all the power of middle class people literally i want to say that if it is going like that so one day we will again enter in the ""Tanashahi"" world. No more freedom "
Vidhi,"the farmers bill (2020) is like getting proteins from supplements (sold at a premium price by corporates ) because real food is not available or it is available but ""knowledge"" about real protein rich food is lacking ... and the companies take full advantage of this lack of knowledge ...make the profits ....ultimately replace farmers with machines ...."
Desh,nice explaination but10 ni 70 din se chal raha h protest..
Hemant Kumar,Very well explained.    
bani singh,Great video as always !
Poonam Sharma,"Msp on contract farming
And hoarding
These are the main issue
And i think here farmers are right...

But i hv a query why farmers who are protesting are not ready to set a panel and talk to govt. Directly?"
neetika Singh,Very good information sir.....Thank you...
Movie clips,Very good and non confused content display by you.
Kamaldeep Singh Sidhu,Thanks
Shivani Sharma,Really informative
Shubham kumar,Please tell me the full form of MSP
Bharat Singh Rathore,Well explained brother 
lalit Kumar,PM modi should watch this vedio
Ginni Gill,"Thanks,now I understood the bills actually"
Aman Agarwal,farm bill is bad...atleast hoarding to nhi hona chahiye...
Satyam Singh,Oppose the agricultural bills
Mayank Jain,Well explained
Vikram Verma,You sound absolutely like Amir Khan 
Dhirendra Pal Singh,Really sir.. Very nicely explained... Ab mujhe samajh aaya why farmers are Protesting.
Kunzang Lamo,Perfectly explained
Himanshu Gupta,Thank you very much sir
Jagdish Pandey,Han sarkar ko apni facility acchi krni chahiye.. Wrna to private sector wale farmers ko exploite krte  h Or krte rehenge.. Fix price hone chahiye aanaj ke Chahe govt ho ya private  sector
nazneen tabassum,Very well explained
Somya Tyagi,"Thanks, Sir!"
Danish Ayan,Thanks sir nicely explained
Deepak Kachhawa,What a Great Explaination
Rajat Sharma,Thanks sir
Arushi Kulshrestha,Thanks sir g 
Siddharth Chaudhary,Well explained!
IP_ANTARA_Prafull Dwivedi,Thanks sir for lovely details.
Tribhu Singh,Very well explained
TK Rath,"Havent found any video which is so concise, crisp and clear with case study. 
Thank you Mahipal Sir "
mishra chabra,"This is ur first video that i hv seen, n honestly had absolutely no clue about these acts... thabks for explaining them in the best possible way "
Khushbu Chugh,Very well explained .
sheela yadav,So well explained 
Shakir Hussain,"Thank you sir
Very nice video"
Ranjan Kumar,Very well explained sir
vipul kumar,Thanks Sir
Jeetendra C S Kadur,Sir Your point of view is very good....Good analysis..Thank you Sir
Sreenivasan NV,Very good explanation ...
Saurabh Makode,great information. thanks sir..
ankit rai,Thanks for the valuable information sir ji .
krishan duggal,Excellent explanation. Monopolist in online Education. Sir thanks
Abhishek,Fantastic explanation . Real free lancer.
Gayathri Sandrala,Crystal clear explanation on farm bils sir ..tq you so much ....how can I get  pdf on farm Bils sir
Debarun Chakraborty,Very well explained ...Thank you sir.
SHEKHAR KUMAR SANU,I want to say thank you so much Sir. Thanks a lot
Akshay M,"This video is nothing but a classic example of fear mongering.
All this video is talking about is, this would have happen in future, this may be happen.
But nothing decisive.
The only farmers who are protesting are from Punjab and Haryana who are fat rich, many are having crores of turnover.
U gave a example of jio.
Yes jio rises there prices, but they are not selling 1GB Data for 134 rupee like Airtel doses.
Only because of JIO today all the telecom player's are reasonable in there prices.
And yes is government is not managing correctly they have to go away.
Ex:- Ordinance factory board 100% govt, is only able to fulfill 53% of its orders from past 3.5 decades, due to their faulty animation and equipment 1000's of crores of loss is taken place.
So don't make a video tomorrow what wrong with government for corporatizing OFB."
H_ K,"Very well explained sir... 
Bjp privatisation la rahi h, N kisan vl be at their mercy... this needs to modified or scrapped."
Jagdev Kingra,Thanks sir.
Ritika Raj,Very well explained Sir... 
diya Yogi,Thanks a lot sir.
Knowledge With Muskan,U explained it very well sir
Suyash Krishna,Great explaination and linking 
Taz Muhammad,Thanks a lot sir 
Nandkishore Patel,All doubt clears thanks sir
Varsha kumari,Very well explained sir thank you
Abhijit Das,Very Well Explained ..Sir..!
BATTELION5,Thanks sir 
bikaas kumar,Thanks sir for clearing this important topic in lucid manner 
ritik k,"Thank you sir for explaining in so simple way, I don't understand why officials can't sees these cons while everyone else can"
Manoj Singh,Well explained 
Rishabh Nigam,Private contracts will eventually bring a competitor and farmers will have a choice to whom he wants to sell and to whom not. If you are not getting MSP in the private contract you can go for APMC's
Rishabh Pandey,"It is very fruitful fot all the farmers,  they are not going to lose any rights even they will get more options of selling "
Jayesh Panicker,There is no MSP on vegetable or fruits. Only 6% of total agri output of India is brought through MSP
Chaman Gupta,"6:40 , If the contract has already been done then why would changes in prices affect farmers ??"
Biswajit Maity,we need this as a JPG or any other format.
Jai Sri Ram,"I think agriculture supply chain will be Modernized and farm produce will increase, if the company and farmers do contract farming. 
Then farmers get best price.
With efficient supply chains consumer also get best price ."
Spring Jewel,"In a convoluted search, I came across India farmers protest new laws. After reading several articles, I still couldn't make sense of it, by design b/c I'm not stupid! Thank you, and that's what I thought!"
Jayaprakash Paul,Really supperb 
Aastha Yadav,Made it very simple to understand. 
Azad Kumar. A,"Ur explanation ,voice, accent and pronunciation is literally so awesome"
Godx Live,"Nice explanation but still I'll recommend everyone to go through whole farm bill for better understanding as he also missed a lot of things.
As you know half knowledge is always dangerous.
Btw this bill is somewhere better than old so I will support it "
sofana devi,Nice explanation 
Nairita Banerjee,Very nicely explained. Thank you
𝐉𝐃 𝐂𝐇𝐎𝐔𝐃𝐇𝐀𝐑𝐘 𓅓,How an illiterate farmer can sign Legal aggrements how ?? Just without reading ?? Without understanding what is written there??
Sush Navodaya,Love the way you explain it... Thanks a loooooot... It's a BIG help for my preparation AmithJiiiii
Ponnada Jaidev,"I think the government is taking a capitalistic approach which at the end, we have to take anyways. India has to grow and become self sufficient and for that, every Indian should become self-dependent so that the government does not have to waste the hard earned tax money and rather utilize on the development of the country. Although, I am not a very big fan of BJP's economic adventures, but I can really say that this bill is extremely visionary. It will get better over time. Great job!"
Kapil Parjapat,U are awesome broo and ur voice is 
Anshu Chaudhary,Then why the hell there was so much of noise in the nation attracting international support
hills,Had I found this channel before I would have cracked upsc then. Anyways learning is an unending process
Tp Singh,Most of the comment makers seem to be too far from reality of  rural India.
K Singh,"Ok, let's say we agree. Then what is the government going to do about the poor people who can't afford to eat onions or potatoes, is the government going to hand out free food to them or have some  kind of benefit system in place? What ever way you look at it, a problem will be created in the future. Maybe look at a solution that will help all parties. Why not let the farmers sell directly to the retail industry as well and see how it works out, but still keeping the same conditions as going through the market."
Birta kimi,Great 
Aman Batt,From where I get pdf of this lecture  very nicely  lecture
Chandra Lekha,Sir can you please make videos on agriculture optional it would be very helpful to us
