comment,label,number
Abp  is the worst channel and they hate Indian farmers and india.  They are fake propaganda news and must be stop kissan zindabad,1,8391
Never vote to BJP...jay Kishan,1,8808
Ask question from government.,1,681
"Lap dog media news channel. A true travesty for India. 
Zee news is a shameless bunch of people!",1,3206
Being a politician if he is supporting the farmers than what is the problem with this shameless anchor,1,2185
Do ground reporting  dont do godi reporting,1,11490
Modi government is a big failure,1,148
"Modis policy will break India and its states into countries. 
I hope for farmers that they will win.",1,8825
WION plz show this I always see you barking and yelling at others matters. Now cover this. Godi media can't show you reality,1,13708
Farmers definitely win,1,2621
"Meanwhile Indian media is calling them Khalistan terrorists , Pakistan agents, and dubbing the whole thing as foreign media games to hurt Indias image! India is a totally delusional country now.",1,9674
I stand with the farmers! Big Corporate Agra giants are destroying small farms all over the world. This is not just an India problem. It is a global problem. Stay strong! Your voices will be heard! You will have victory!,1,2702
Very disappointing reportage by you on the farmers gathering at Muzzafarnagar. You must have deliberately avoided showing speeches of farmer leaders.,1,11013
The root cause of all this is that ninety percent of  media is sold out & they have become a bunch of lyers.,1,13891
I am supporting farmers,1,165
1:03 looks like Indian police are more violent than Taliban special forces.,1,14861
"*I Hope Modi government is overthrown the worst Dictator in India history, Look as the Fat motherlover from BJP*",1,12885
I am also a farmer the problem is with MSP only.,1,14261
India is obsessed with taliban and isi rather than working for the farmers... The same farmers stopped export to Pakistan just to be part of modis politics.... Here they are now.,1,7520
This bjp spokesperson Anchor is to junior front of RAKESH tikat ji,1,1968
"Lets be honest, that shithead officer wont face any actions. He is just another pawn of BJP govt. 
this has been going on for years but its the first time this is caught on camera.",1,14971
I want to fight amit shah im a akhaaga...plz...,1,1802
his father rakesh sinha is in rss and a old farmer got killed by lathi smash on his head repeated by police,1,7900
Thank God they kicked out chitra Tripathi,1,9267
They have to do.. not like you news channels associated holes.. they are fighting for there rights.,1,2757
It's kisan power ,1,14385
Keep it up farmers we are with you.,1,13232
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,531
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,5698
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,5184
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,9876
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,6097
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,7697
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,6477
"Government at fault, Just repeal the laws so they can go home and rest. 100% government at fault.  Godi Media trying hard to defame farmers hahaha.",1,10362
Godi media who rests in modis pocket.,1,14250
They are fighting for their rights,1,14183
Now people wont say they are anti nationals . Bcz hindus also part of the protest . #kissanektazindabad,1,1729
Godi media where was you when Bengal elections held,1,12603
Without canceling these laws nothing would help bjp government this time .if they care about citizens they should do it,1,14758
"Cancel the law, stop kicking on farmers stomach.they will go back",1,3112
"Farmers are suiciding all over India, government is hiding it's data. They will anyways die due to farm bills,so better fight n die instead of giving up and die.jai jawan jai kisan ",1,9887
"They have been protesting since Nov 2020! No covid death amongst them so far, media can't put fear in them they way u are all fooled! Lol carry on farmers ",1,6458
"Repeal the laws and they will go
Home. Quite simple",1,12694
"Gov can just cancel the law and stop this March... That is the good way of ending this strike..why Modi government is not doing that ????? 
Farmers are protesting for over a five months... Why Modi and his government is not knowing that ?",1,3648
"Why did you not see the 'grim' situation in the election rallies of your masters??
Virus is only seen in the Farmers rightful protest? Only when i go to open my business? Only in my child's classroom? Only when I'm driving in my car??
Kissan Unity cannot be broken.",1,14711
U can just cancel the law and stop all the protesting farmers at their tracks,1,11874
"I bet this is a video from two months ago, godi media using for propaganda to divert attention from BJP failures .",1,10992
Looks Corona has no impact on farmers .... farmers will break corona chain ... 80 % of active cases are in metros and cities,1,11387
This seems to be a conspiracy by some enemy nations to bring India down! These people are brainwashed. Remember who is mocking our funeral pyres.  Stop this madness before their agenda succeeds.,1,10931
Many many will die..Pls Government..Give these poor farmers what they want..Focus on the fight at hand...Most of these sikh farmers have families  in army and many are helping at forefront during covid times..They are true Indians and don't deserve to die due to covid..Pls help them out..,1,9804
Praying for all the farmers. ,1,12612
God will punish Modi Modi Shah hard hearts government which never hear the plea of the farmers.,1,9060
When rally can happen then why not this,1,13123
Is this the time to pass a bill so critical of farmers life...ask that question first,1,11307
Kumbh is causing covid in kisan mahapanchayat. Rss and facist modi should resign.,1,265
Why doesn't the government speak to the farmers and close this issue since and for all it will have a negative impact on the economy.,1,5459
people who beat up the people who feed them .... why should farmers feed such a population .... absolutely shameful ....,1,10168
"The stand of Sardar Gurnam Singh Chaduni is commendable  that is, the Whole present political system of our Democratic & secular country may be said responsible for harassing the Kissans. 
      So  that a new party namely All India Kissan-Mazdoor Party should be made by Agriculture people for flushing out corporated  based politicians by democratic votes.",1,10933
If this SDM will deny for the orders he given to the police would have to face music in front of of honorable Court. Video of SDM is full flaged evidence against SDM.,1,2202
"BJP aur RSS is creating unrest in our country,they should be kicked out from our country",1,7906
Such general dyers have no place in this country.,1,3493
Jai Kissan.... BJP Taliban party will not get Vote in next Election.,1,2123
"Wow good batting by police helmet also nice BUT remember police we are n u alive bcoz of Farmer producing Food, vegetables. From 2day u don't buy any food only have salary.",1,7201
We are with farmers,1,12905
Shame on modi,1,2585
"*ALL PROFESSIONS ARE EQUALLY IMPORTANT.... Farmers is just like another profession. There is no need to put them on a pedestal. Some people quote them as ANDH DATTA & that without farmers there will be no food. and as such must support them. What if there were no doctors, nurses, frontliners; many would hv died during this pandemic What if there were no jawans, police & security personal; there would be anarchy. What if there were no bankers, money lender...; there would financial system will collapse. etc, etc... Bottom line EVERYONE IS IMPORTANT including the police*",1,5006
"ORDERS CAME FROM ABOVE MEANS FEKU / THADIPAR   COMBINE . 
FANGS OF THE MOST POISONOUS SNAKE ON EARTH.    ",1,11220
How can a police personal ordered to his team to Crack the head of the farmers and due to which one farmer died it was notorious activity done by Haryana police with the support of CM haryana and back support of M/s Modi & Shah. It is shameful for our democratic country.,1,10098
"Next Selling assets of nation to Ambani and Adani  will take place . After 25 years People has to stand in queue for Ambani and Adani to get their services.  Why this govt is doing this ? no one is understanding the dangers .  These are the foundation stones to break the democratic setup.  The beating is not a simple lathi  it is a big wooden stick ,  The police man who is beating is nothing but a symbol of power and who given him such a power to beat ?",1,3300
Present ruling party is worse than Taliban,1,8969
HT is showing this news as if Tikat is a responsible person .heights of irresponsible reporting by HT . Shame,1,10751
Farmer's labor unity zindabad,1,11533
BJP has lost it big time actual Mirchi bjp ko lagi coz farmer protest is bringing Hindus and muslims together,1,11594
How much time this shameless BJP GUY is wasting and talking nonsense,1,10510
"It is their rights to protest, rich bastards should fook your self. But my worry this farmers are inviting wuhan virus!",1,2407
"We love our farmers, they are feeding us including Bhakts since independence. RSS and BJP don't spread hate and control your it cell Machar. Kisan ekta zindabaad",1,12660
Unity of farmers Zindabad..Jai Kissan jai jawan fight to achieve your Right and all black laws must be withdrawn then only common citizen will live peacefully.,1,8691
Good the farmer's who voted for bjp paid their price and learnt their lesson,1,13383
Up elections are coming. High time yogiji starts behaving like yogiji,1,9201
A true patriot protects his country from its govt.,1,11102
"Harvest season Modi should save farmers from dalal,middleman, commission brokers , and money lenders to farmers .",1,7594
Hindu government no rasult.,1,14337
"if the farmers protesting are khalistani then why are hindus a part of this protest, maybe they don't feel safe in India that's why they are supporting Khalistan huh",1,6742
Jai Jawn Jai Kisan...... Long live Rakesh Tikat And Farmers unions.,1,627
Please support for farmers for Indian gourmand,1,10025
"India is the largest democracy in the world, Indian people have democracy and freedom of speech, Indians are the most peaceful lol. Open fire!",1,9193
Nor BJP and JDU has anything to say that is why they talking rubbish and bad words,1,11195
Shame on what this channel is bringing to public. All the government has to do is cancel the farming laws and the farmers will leave happily.  The government can choose not risk the public health. The farmers have been protesting the laws for the past six months through the harsh weather and the pandemic yet the Prime Minister of India has not taken a single step in resolving this issue. All because his ego is more important that the livelihood of such a large population. The farmers are fighting for their life one way or another so shame on this channel for said for talking about human health but wasnt concerned when all the rallies were taking place. This is a violation of human rights and the media is corrupt so dont sit behind closed doors and talk about whats the right thing to do because it surely isnt what youre doing.,1,9118
